Laptop Model,Processor Type,Generation,RAM,Storage,Graphics,Display Size(Inch),Price
Microsoft Surface Laptop Go 3 Intel Core i5 1 ...,Core i5,12th (Intel),8GB,256GB SSD,Shared,12.4,"Tk 119,000"
Microsoft Surface Pro 9 (Wi-Fi) Intel Core i7 ...,Core i7,12th (Intel),16GB,1TB SSD,Shared,13,"Tk 245,000"
Apple Macbook Pro (Late 2023) Apple M3 Pro 18 ...,Apple M3,Not Applicable,18GB,4TB SSD,Shared,16.2,"Tk 455,000"
Dell Inspiron 15 3530 Intel Core i7 1355U 8GB ...,Core i7,13th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 127,000"
Dell Inspiron 16 5625 AMD Ryzen 7 5825U 8GB R ...,Ryzen 7,Not Applicable,8GB,512GB SSD,Shared,16,"Tk 107,500"
"HP 15-fd0211TU Intel Core i7 1355U 8GB RAM, 5 ...",Core i7,13th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 107,800"
"HP 15-fd0024TX Intel Core i5 1335U 8GB RAM, 5 ...",Core i5,13th (Intel),8GB,512GB SSD,2GB,15.6,"Tk 95,800"
"HP 14-ep0163TU Intel Core i5 1335U 8GB RAM, 5 ...",Core i5,13th (Intel),8GB,512GB SSD,Shared,14,"Tk 83,600"
"HP 14-ep0161TU Intel Core i5 1335U 8GB RAM, 5 ...",Core i5,13th (Intel),8GB,512GB SSD,Shared,14,"Tk 80,800"
"HP 15-fd0203TU Intel Core i3 1315U 8GB RAM, 5 ...",Core i3,13th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 65,800"
Apple MacBook Pro (Late 2023) Apple M3 16GB R ...,Apple M3,Not Applicable,16GB,512GB SSD,Shared,14.2,"Tk 295,000 (Estimated)"
Lenovo IdeaPad Slim 3i 15ITL6 11th Gen Intel ...,Core i7,11th (Intel),16GB,512GB SSD,Shared,15.6,"Tk 83,500"
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i7 1 ...,Core i7,11th (Intel),16GB,512GB SSD,Shared,15.6,"Tk 91,000"
