Laptop Model,Processor Type,Generation,RAM,Storage,Graphics,Display Size(Inch),Price
Apple Macbook Pro (Late 2023) Apple M3 Pro 18 ...,Apple M3,Not Applicable,18GB,512GB SSD,Shared,16.2,"Tk 380,000 (Estimated)"
Lenovo V15 Gen 3 Intel Core i3 1215U 8GB RAM ...,Core i3,12th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 59,500"
Acer TravelMate P214-54 Intel Core i5 1235U 8 ...,Core i5,12th (Intel),8GB,512GB SSD,Shared,14,"Tk 78,500"
Acer TravelMate P214-54 Intel Core i3 1215U 8 ...,Core i3,12th (Intel),8GB,1TB HDD,Shared,14,"Tk 62,500"
Asus VivoBook 15 X1502ZA Intel Core i3 1215U ...,Core i3,12th (Intel),8GB,256GB SSD,Shared,15.6,"Tk 66,500"
Asus ZenBook Pro 14 OLED UX6404VV Intel Core ...,Core i9,13th (Intel),16GB,1TB SSD,8GB,14.5,"Tk 305,000"
Asus Zenbook 14 Flip OLED UP3404VA Intel Core ...,Core i7,13th (Intel),16GB,512GB SSD,Shared,14,"Tk 195,000"
Asus VivoBook Go 15 E1504FA AMD Ryzen 3 7320U ...,Ryzen 3,Not Applicable,8GB,512GB SSD,Shared,15.6,"Tk 62,000"
Microsoft Surface Laptop Studio 2 Intel Core ...,Core i7,13th (Intel),16GB,512GB SSD,Shared,14.4,"Tk 259,000"
Microsoft Surface Pro 9 (Wi-Fi) Intel Core i7 ...,Core i7,12th (Intel),16GB,256GB SSD,Shared,13,"Tk 179,000"
Microsoft Surface Laptop 5 Intel Core i5 1245 ...,Core i5,12th (Intel),8GB,256GB SSD,Shared,13.5,"Tk 144,000"
MSI Modern 14 C12MO Intel Core i3 1215U 16GB ...,Core i3,12th (Intel),16GB,512GB SSD,Shared,14,"Tk 63,000"
Asus X515EA Intel Core i5 1135G7 8GB RAM 1TB ...,Core i5,11th (Intel),8GB,1TB HDD+256GB SSD,Shared,15.6,"Tk 69,800"
Lenovo IdeaPad Slim 3i 15IAU7 Intel Core i5 1 ...,Core i5,12th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 83,000"
Lenovo IdeaPad Slim 3i 14IRU8 Intel Core i3 1 ...,Core i3,13th (Intel),8GB,512GB SSD,Shared,14,"Tk 69,900"
Lenovo IdeaPad Slim 3i 15IAU7 Intel Core i3 1 ...,Core i3,12th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 64,000"
Lenovo IdeaPad Slim 3i 14ITL6 Intel Core i3 1 ...,Core i3,11th (Intel),8GB,512GB SSD,Shared,14,"Tk 57,500"
Lenovo IdeaPad Slim 3i 14IAU7 Intel Core i3 1 ...,Core i3,12th (Intel),8GB,256GB SSD,Shared,14,"Tk 56,500"
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i3 1 ...,Core i3,11th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 57,500"
Asus VivoBook 15 X1502ZA Intel Core i5 1235U ...,Core i5,12th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 81,500"
ASUS Vivobook 15 X1504VA Intel Core i5 1335U ...,Core i5,13th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 88,500"
ASUS Vivobook 15 X1504VA Intel Core i3 1315U ...,Core i3,13th (Intel),8GB,256GB SSD,Shared,15.6,"Tk 70,500"
Asus Zenbook 14 Flip OLED UP3404VA Intel Core ...,Core i5,13th (Intel),16GB,512GB SSD,Shared,14,"Tk 159,000"
Asus ZenBook S 13 OLED UX5304VA Intel Core i7 ...,Core i7,13th (Intel),16GB,1TB SSD,Shared,13.3,"Tk 189,900"
Asus VivoBook 15 M1502IA AMD Ryzen 5 4600H 8G ...,Ryzen 5,Not Applicable,8GB,512GB SSD,Shared,15.6,"Tk 74,000"
Apple MacBook Air (2022) Apple M2 Chip 24GB R ...,Apple M2,Not Applicable,24GB,1TB SSD,Shared,13.6,"Tk 265,000 (Estimated)"
Apple Macbook Pro (Early 2023) Apple M2 Max C ...,Apple M2,Not Applicable,32GB,2TB SSD,Shared,16.2,"Tk 495,000 (Estimated)"
Asus VivoBook Go 15 E1504FA AMD Ryzen 5 7520U ...,Ryzen 5,Not Applicable,16GB,512GB SSD,Shared,15.6,"Tk 81,500"
MSI Modern 15 B12M Intel Core i7 1255U 16GB R ...,Core i7,12th (Intel),16GB,512GB SSD,Shared,15.6,"Tk 89,900"
Lenovo IdeaPad Gaming 3 15ARH7 AMD Ryzen 7 77 ...,Ryzen 7,Not Applicable,16GB,512GB SSD,6GB,15.6,"Tk 139,000"
Lenovo IdeaPad Gaming 3 15ARH7 AMD Ryzen 5 75 ...,Ryzen 5,Not Applicable,8GB,512GB SSD,6GB,15.6,"Tk 124,000"
Lenovo IdeaPad Gaming 3 15ARH7 AMD Ryzen 7 77 ...,Ryzen 7,Not Applicable,16GB,512GB SSD,6GB,15.6,"Tk 149,000 159,000"
Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB ...,Ryzen 3,Not Applicable,8GB,512GB SSD,Shared,15.6,"Tk 53,400"
Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB ...,Ryzen 3,Not Applicable,8GB,512GB SSD,Shared,15.6,"Tk 53,400"
Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 7 7730 ...,Ryzen 7,Not Applicable,8GB,512GB SSD,Shared,15.6,"Tk 83,000 88,000"
Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 7 7730 ...,Ryzen 7,Not Applicable,8GB,512GB SSD,Shared,15.6,"Tk 83,000 88,000"
Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 5 7530 ...,Ryzen 5,Not Applicable,8GB,512GB SSD,Shared,15.6,"Tk 71,000"
Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 5 7530 ...,Ryzen 5,Not Applicable,8GB,512GB SSD,Shared,15.6,"Tk 71,000"
Asus VivoBook 16X OLED M1603QA AMD Ryzen 5 56 ...,Ryzen 5,Not Applicable,8GB,512GB SSD,Shared,16,"Tk 108,000"
Asus ZenBook S 13 OLED UX5304VA Intel Core i7 ...,Core i7,13th (Intel),16GB,1TB SSD,Shared,13.3,"Tk 199,990"
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i7 1 ...,Core i7,11th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 88,000"
Acer Aspire 3 A315-59-5031 Intel Core i5 1235 ...,Core i5,12th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 71,500"
Acer Aspire 5 5P-A515-58P Intel Core i3 1305U ...,Core i3,13th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 59,800"
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i7 1 ...,Core i7,11th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 88,000"
Microsoft Surface Laptop 5 Intel Core i7 1255 ...,Core i7,12th (Intel),16GB,512GB SSD,Shared,13.5,"Tk 205,000"
Gigabyte AORUS 15 9MF Intel Core i5 12500H 8G ...,Core i5,12th (Intel),8GB,512GB SSD,6GB,15.6,"Tk 146,000"
Gigabyte Gaming G5 KF Intel Core i5 12500H 8G ...,Core i5,12th (Intel),8GB,512GB SSD,8GB,15.6,"Tk 135,000"
Gigabyte Gaming G5 MF Intel Core i5 12500H 8G ...,Core i5,12th (Intel),8GB,512GB SSD,6GB,15.6,"Tk 124,000"
Microsoft Surface Go 3 (Wi-Fi) Intel Core i3 ...,Core i3,10th (Intel),8GB,128GB SSD,Shared,10.5,"Tk 138,000 (Estimated)"
Dell Latitude 15-3520 Intel Core i5 1145G7 8G ...,Core i5,11th (Intel),8GB,256GB SSD,Shared,15.6,"Tk 76,800"
Dell Latitude 15-3520 Intel Core i5 1135G7 8G ...,Core i5,11th (Intel),8GB,500GB SSD,Shared,15.6,"Tk 74,500"
Dell Latitude 15-3520 Intel Core i5 1135G7 8G ...,Core i5,11th (Intel),8GB,256GB SSD,Shared,15.6,"Tk 69,800"
Microsoft Surface Pro 9 (Wi-Fi) Intel Core i7 ...,Core i7,12th (Intel),16GB,512GB SSD,Shared,13,"Tk 205,000 (Estimated)"
Microsoft Surface Pro 9 (Wi-Fi) Intel Core i5 ...,Core i5,12th (Intel),8GB,512GB SSD,Shared,13,"Tk 154,000"
Apple MacBook Air (2023) Apple M2 Chip 16GB R ...,Apple M2,Not Applicable,16GB,512GB SSD,Shared,15.3,"Tk 265,000 (Estimated)"
Apple MacBook Air (2023) Apple M2 Chip 16GB R ...,Apple M2,Not Applicable,16GB,512GB SSD,Shared,15.3,"Tk 265,000 (Estimated)"
MSI Modern 14 C13M Intel Core i7 1355U 16GB R ...,Core i7,13th (Intel),16GB,512GB SSD,Shared,14,"Tk 104,500"
MSI Modern 15 B13M Intel Core i5 1335U 16GB R ...,Core i5,13th (Intel),16GB,512GB SSD,Shared,15.6,"Tk 91,500"
MSI Modern 14 C11M Intel Core i3 1115G4 8GB R ...,Core i3,11th (Intel),8GB,512GB SSD,Shared,14,"Tk 56,000"
Microsoft Surface Laptop 5 Intel Core i7 1255 ...,Core i7,12th (Intel),16GB,512GB SSD,Shared,13.5,"Tk 205,000"
Asus VivoBook 15 M1505YA AMD Ryzen 5 7530U 8G ...,Ryzen 5,Not Applicable,8GB,512GB SSD,Shared,15.6,"Tk 89,000"
Asus VivoBook 15 X1502ZA Intel Core i3 1215U ...,Core i3,12th (Intel),4GB,256GB SSD,Shared,15.6,"Tk 63,900"
Apple MacBook Pro (2023) Apple M2 Max Chip 32 ...,Apple M2,Not Applicable,32GB,1TB SSD,Shared,16.2,"Tk 465,000"
Apple MacBook Air (2023) Apple M2 Chip 8GB RA ...,Apple M2,Not Applicable,8GB,512GB SSD,Shared,15.3,"Tk 205,000"
Apple MacBook Air (2023) Apple M2 Chip 8GB RA ...,Apple M2,Not Applicable,8GB,512GB SSD,Shared,15.3,"Tk 205,000 (Estimated)"
Apple MacBook Air (2023) Apple M2 Chip 8GB RA ...,Apple M2,Not Applicable,8GB,512GB SSD,Shared,15.3,"Tk 205,000 (Estimated)"
Apple MacBook Air (2023) Apple M2 Chip 8GB RA ...,Apple M2,Not Applicable,8GB,256GB SSD,Shared,15.3,"Tk 162,000 (Estimated)"
Apple MacBook Air (2023) Apple M2 Chip 8GB RA ...,Apple M2,Not Applicable,8GB,256GB SSD,Shared,15.3,"Tk 162,000 (Estimated)"
MSI Modern 14 C11M Intel Core i7 1195G7 8GB R ...,Core i7,11th (Intel),8GB,512GB SSD,Shared,14,"Tk 95,000"
Lenovo Legion Slim 7i 16IAH7 Intel Core i7 12 ...,Core i7,12th (Intel),16GB,512GB SSD,6GB,16,"Tk 230,000"
Lenovo Legion 5i Pro 16IAH7H Intel Core i7 12 ...,Core i7,12th (Intel),16GB,1TB SSD,6GB,16,"Tk 219,000"
Lenovo IdeaPad Gaming 3i 16IAH7 Intel Core i7 ...,Core i7,12th (Intel),16GB,512GB SSD,4GB,16,"Tk 156,000"
Lenovo IdeaPad Slim 5i 15IAL7 Intel Core i7 1 ...,Core i7,12th (Intel),16GB,512GB SSD,2GB,15.6,"Tk 155,000"
Lenovo IdeaPad Gaming 3i 16IAH7 Intel Core i5 ...,Core i5,12th (Intel),16GB,512GB SSD,4GB,16,"Tk 124,000"
Acer Extensa 14 EX214-53-543W Intel Core i5 1 ...,Core i5,12th (Intel),8GB,512GB SSD,Shared,14,"Tk 79,900"
MSI Cyborg 15 A12VE Intel Core i5 12450H 16GB ...,Core i5,12th (Intel),16GB,512GB SSD,6GB,15.6,"Tk 129,500"
Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 ...,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,"Tk 35,000"
Microsoft Surface Laptop 5 Intel Core i7 1255 ...,Core i7,12th (Intel),16GB,512GB SSD,Shared,13.5,"Tk 205,000"
Asus TUF Gaming A15 FA507RM AMD Ryzen 7 6800H ...,Ryzen 7,Not Applicable,16GB,512GB SSD,6GB,15.6,"Tk 162,900"
Dell Vostro 15 3510 Intel Core i5 1135G7 8GB ...,Core i5,11th (Intel),8GB,512GB SSD,2GB,15.6,"Tk 84,000"
MSI Modern 15 A11MU Intel Core i7 1195G7 8GB ...,Core i7,11th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 89,500"
Asus TUF Dash F15 FX517ZM Intel Core i5 12450 ...,Core i5,12th (Intel),16GB,512GB SSD,6GB,15.6,"Tk 186,000"
Asus TUF Dash F15 FX517ZE Intel Core i5 12450 ...,Core i5,12th (Intel),16GB,512GB SSD,4GB,15.6,"Tk 159,000"
Microsoft Surface Laptop 5 Intel Core i5 1235 ...,Core i5,12th (Intel),8GB,256GB,Shared,13.5,"Tk 144,000"
HP 250 G8 Intel Core i3 1115G4 8GB RAM 1TB HD ...,Core i3,11th (Intel),8GB,1TB HDD,Shared,15.6,"Tk 57,500"
HP ProBook 450 G8 Intel Core i3 1115G4 8GB RA ...,Core i3,11th (Intel),8GB,256GB SSD,Shared,15.6,"Tk 63,000"
MSI GF63 Thin 12UCX Intel Core i5 12450H 8GB ...,Core i5,12th (Intel),8GB,512GB SSD,4GB,15.6,"Tk 94,500"
HP 15s-eq3619AU AMD Ryzen 5 5625U 8GB RAM 512 ...,Ryzen 5,Not Applicable,8GB,512GB SSD,Shared,15.6,"Tk 73,200"
HP 15s-eq1578AU AMD Athlon Silver 3050U 8GB ...,AMD Athlon,Not Applicable,8GB,256GB SSD,Shared,15.6,"Tk 46,500 48,900"
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i7 1 ...,Core i7,11th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 88,900"
Lenovo IdeaPad Slim 3i 14IAU7 Core i5 1235U 8 ...,Core i5,12th (Intel),8GB,256GB SSD,Shared,14,"Tk 75,500"
Lenovo IdeaPad Slim 3i 14ITL6 Intel Core i7 1 ...,Core i7,11th (Intel),8GB,512GB SSD,Shared,14,"Tk 88,000"
Lenovo IdeaPad Slim 3i 15ITL6 Core i3 1115G4 ...,Core i3,11th (Intel),4GB,1TB HDD,Shared,15.6,"Tk 52,800"
Asus ExpertBook B5 Flip B5302FEA Intel Core i ...,Core i5,11th (Intel),8GB,512GB SSD,Shared,13.3,"Tk 113,000"
Asus ExpertBook B1 B1400CBA Intel Core i5 123 ...,Core i5,12th (Intel),8GB,512GB SSD,Shared,14,"Tk 91,000"
Asus ExpertBook B1 B1400CEAE Intel Core i5 11 ...,Core i5,11th (Intel),4GB,1TB HDD,Shared,14,"Tk 83,500"
Asus ExpertBook L2 Flip L2402FYA AMD Ryzen 5 ...,Ryzen 5,Not Applicable,8GB,512GB SSD,Shared,14,"Tk 103,000"
Asus BR1100FKA Intel CDC N4500 4GB RAM 256GB ...,Intel Celeron,Not Applicable,4GB,256GB SSD,Shared,11.6,"Tk 44,800"
Apple MacBook Pro (2023) Apple M2 Pro Chip 16 ...,Apple M2,Not Applicable,16GB,512GB SSD,Shared,16.2,"Tk 340,000 (Estimated)"
Apple MacBook Pro (2023) Apple M2 Pro Chip 16 ...,Apple M2,Not Applicable,16GB,512GB SSD,Shared,16.2,"Tk 340,000 (Estimated)"
Asus VivoBook 15 X513EP Intel Core i7 1165G7 ...,Core i7,11th (Intel),8GB,512GB SSD,2GB,15.6,"Tk 112,000"
Apple MacBook Pro (2023) Apple M2 Max Chip 32 ...,Apple M2,Not Applicable,32GB,1TB SSD,Shared,14.2,"Tk 396,000 (Estimated)"
Asus VivoBook 15 K513EQ Intel Core i5 1135G7 ...,Core i5,11th (Intel),8GB,512GB SSD,2GB,15.6,"Tk 95,000"
Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB ...,Core i5,11th (Intel),4GB,1TB HDD,Shared,15.6,"Tk 68,500"
Asus VivoBook 15 X513EP Intel Core i7 1165G7 ...,Core i7,11th (Intel),8GB,512GB SSD,2GB,15.6,"Tk 112,000"
Apple MacBook Pro (2023) Apple M2 Max Chip 32 ...,Apple M2,Not Applicable,32GB,1TB SSD,Shared,14.2,"Tk 396,000"
Asus VivoBook 15 X1502ZA Intel Core i3 1220P ...,Core i3,12th (Intel),4GB,512GB SSD,Shared,15.6,"Tk 69,800"
HP 250 G8 Intel Core i3 1115G4 4GB RAM 1TB HD ...,Core i3,11th (Intel),4GB,1TB HDD,Shared,15.6,"Tk 55,000"
Lenovo ThinkBook 15 G2 ITL Intel Core i5 1135 ...,Core i5,11th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 85,000"
Dell Inspiron 15 3511 Intel Core i7 1165G7 8G ...,Core i7,11th (Intel),8GB,512GB SSD,2GB,15.6,"Tk 97,000"
Gigabyte Gaming G5 KE Intel Core i5 12500H 8G ...,Core i5,12th (Intel),8GB,512GB SSD,6GB,15.6,"Tk 146,000"
Dell Inspiron 15 3525 AMD Ryzen 7 5825U 8GB R ...,Ryzen 7,Not Applicable,8GB,512GB SSD,Shared,15.6,"Tk 87,800"
Dell Inspiron 15 3520 Intel Core i5 1235U 8GB ...,Core i5,12th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 78,500"
Dell Inspiron 15 3520 Intel Core i3 1215U 8GB ...,Core i3,12th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 60,500"
Dell Inspiron 15 3520 Intel Core i3 1215U 8GB ...,Core i3,12th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 60,500"
Huawei MateBook B3-520 Intel Core i5 1135G7 8 ...,Core i5,11th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 76,000"
Lenovo IdeaPad Slim 3i 15ITL 11th Gen Intel C ...,Core i3,11th (Intel),4GB,256GB SSD,Shared,15.6,"Tk 51,400"
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i5 1 ...,Core i5,11th (Intel),8GB,512GB SSD,2GB,15.6,"Tk 78,500"
HP 250 G8 Intel CDC N4020 4GB RAM 1TB HDD 15. ...,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,"Tk 38,500"
Huawei MateBook D 15 Intel Core i3 1115G4 8GB ...,Core i3,11th (Intel),8GB,256GB SSD,Shared,15.6,"Tk 60,500"
Asus X515KA Intel CDC N4500 4GB RAM 1TB HDD 1 ...,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,"Tk 40,500"
Asus VivoBook 15 K513EA Intel Core i3 1115G4 ...,Core i3,11th (Intel),4GB,512GB SSD,Shared,15.6,"Tk 61,900"
Asus VivoBook S15 S513EA Intel Core i3 1115G4 ...,Core i3,11th (Intel),4GB,512GB SSD,Shared,15.6,"Tk 61,000"
Asus VivoBook 15 X1500EA Intel Core i3 1115G4 ...,Core i3,11th (Intel),8GB,1TB HDD,Shared,15.6,"Tk 62,800"
Asus X515KA Intel CDC N4500 4GB RAM 1TB HDD 1 ...,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,"Tk 40,500"
Asus M515DA AMD Ryzen 3 3250U 4GB RAM 1TB HDD ...,Ryzen 3,Not Applicable,4GB,1TB HDD,Shared,15.6,"Tk 46,500"
Asus X415KA Intel CDC N4500 4GB RAM 1TB HDD 1 ...,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,14,"Tk 39,500"
Asus ExpertBook P2451FA Intel Core i3 10110U ...,Core i3,10th (Intel),4GB,1TB HDD,Shared,14,"Tk 57,000"
Asus ProArt StudioBook 16 H5600QR AMD Ryzen 9 ...,Ryzen 9,Not Applicable,32GB,1TB SSD,8GB,16,"Tk 333,000"
Asus ProArt StudioBook 16 H5600QM AMD Ryzen 9 ...,Ryzen 9,Not Applicable,32GB,1TB SSD,6GB,16,"Tk 302,000"
Asus ProArt StudioBook 16 H5600QM AMD Ryzen 7 ...,Ryzen 7,Not Applicable,16GB,1TB SSD,6GB,16,"Tk 275,000"
Asus VivoBook Pro 15 M3500QC AMD Ryzen 9 5900 ...,Ryzen 9,Not Applicable,16GB,512GB SSD,4GB,15.6,"Tk 154,000"
Asus ZenBook 14 UM425UA AMD Ryzen 5 5500U 8GB ...,Ryzen 5,Not Applicable,8GB,512GB SSD,Shared,14,"Tk 88,500"
Asus 15 P1511CMA Intel CDC N4020 4GB RAM 1TB ...,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,"Tk 37,500"
Apple MacBook Air (2022) Apple M2 Chip 24GB R ...,Apple M2,Not Applicable,24GB,512GB SSD,Shared,13.6,"Tk 265,000 (Estimated)"
Apple MacBook Air (2022) Apple M2 Chip 24GB R ...,Apple M2,Not Applicable,24GB,2TB SSD,Shared,13.6,"Tk 325,000 (Estimated)"
Apple MacBook Pro (Late 2021) Apple M1 Max Ch ...,Apple M1,Not Applicable,64GB,4TB SSD,Shared,16.2,"Tk 479,000"
Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U 8GB ...,Ryzen 3,Not Applicable,8GB,512GB SSD,Shared,15.6,"Tk 49,900"
Apple MacBook Air (2022) Apple M2 Chip 16GB R ...,Apple M2,Not Applicable,16GB,256GB SSD,Shared,13.6,"Tk 187,500 (Estimated)"
Asus VivoBook Pro 15 M3500QC AMD Ryzen 7 5800 ...,Ryzen 7,Not Applicable,16GB,512GB SSD,4GB,15.6,"Tk 144,500"
Asus TUF Gaming F15 FX506HE Intel Core i5 114 ...,Core i5,11th (Intel),8GB,512GB SSD,4GB,15.6,"Tk 133,500"
Asus ROG Zephyrus G15 GA503RM AMD Ryzen 7 680 ...,Ryzen 7,Not Applicable,16GB,1TB SSD,6GB,15.6,"Tk 185,000"
Asus TUF Gaming A15 FA507RE AMD Ryzen 7 6800H ...,Ryzen 7,Not Applicable,16GB,512GB SSD,4GB,15.6,"Tk 142,900 153,900"
Lenovo IdeaPad Slim 5i Pro 16ITL-6 Intel Core ...,Core i5,11th (Intel),16GB,512GB SSD,2GB,16,"Tk 121,000"
Lenovo IdeaPad Gaming 3i 15IHU Intel Core i7 ...,Core i7,11th (Intel),16GB,1TB HDD+256GB SSD,4GB,15.6,"Tk 118,000"
HP 15s-fq5786TU Intel Core i3 1215U 8GB RAM 5 ...,Core i3,12th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 63,500"
Asus VivoBook S15 S513EA Intel Core i5 1135G7 ...,Core i5,11th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 89,000"
Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB ...,Core i5,11th (Intel),4GB,1TB,Shared,15.6,"Tk 68,500"
Asus ZenBook Duo UX482EG Intel Core i7 1165G7 ...,Core i7,11th (Intel),16GB,512GB SSD,2GB,14,"Tk 185,500"
Apple MacBook Pro (2022) Apple M2 Chip 8GB RA ...,Apple M2,Not Applicable,8GB,512GB SSD,Shared,13.3,"Tk 182,000 (Estimated)"
Apple MacBook Pro (2022) Apple M2 Chip 8GB RA ...,Apple M2,Not Applicable,8GB,256GB SSD,Shared,13.3,"Tk 163,000 (Estimated)"
Apple MacBook Pro (2022) Apple M2 Chip 8GB RA ...,Apple M2,Not Applicable,8GB,256GB SSD,Shared,13.3,"Tk 163,000 (Estimated)"
Apple MacBook Air (2022) Apple M2 Chip 8GB RA ...,Apple M2,Not Applicable,8GB,512GB SSD,Shared,13.6,"Tk 185,000 (Estimated)"
Apple MacBook Air (2022) Apple M2 Chip 8GB RA ...,Apple M2,Not Applicable,8GB,512GB SSD,Shared,13.6,"Tk 185,000"
Apple MacBook Air (2022) Apple M2 Chip 8GB RA ...,Apple M2,Not Applicable,8GB,256GB SSD,Shared,13.6,"Tk 160,000 (Estimated)"
Lenovo IdeaPad Slim 3i 14ITL Intel Core i3 11 ...,Core i3,11th (Intel),8GB,256GB SSD,Shared,14,"Tk 56,900"
Asus VivoBook S15 S513EQ Intel Core i5 1135G7 ...,Core i5,11th (Intel),8GB,512GB SSD,2GB,15.6,"Tk 95,000"
Asus VivoBook 14 E410MA Intel CDC N4020 4GB R ...,Intel Celeron,Not Applicable,4GB,256GB SSD,Shared,14,"Tk 38,000"
Asus VivoBook S15 S513EQ Intel Core i5 1135G7 ...,Core i5,11th (Intel),8GB,512GB SSD,2GB,15.6,"Tk 95,000"
Asus VivoBook S15 S513EQ Intel Core i7 1165G7 ...,Core i7,11th (Intel),8GB,512GB SSD,2GB,15.6,"Tk 115,500"
Asus VivoBook S15 S513EQ Intel Core i5 1135G7 ...,Core i5,11th (Intel),8GB,512GB SSD,2GB,15.6,"Tk 95,000"
Asus VivoBook Pro 15 M3500QC AMD Ryzen 7 5800 ...,Ryzen 7,Not Applicable,16GB,512GB SSD,4GB,15.6,"Tk 139,500"
Acer Aspire 7 A715-42G-R2NE AMD Ryzen 5 5500U ...,Ryzen 5,Not Applicable,8GB,512GB SSD,4GB,15.6,"Tk 82,500"
HP 240 G8 Intel Core i5 1135G7 8GB RAM 1TB HD ...,Core i5,11th (Intel),8GB,1TB HDD,Shared,14,"Tk 67,500"
Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB ...,Core i5,11th (Intel),4GB,1TB HDD,Shared,15.6,"Tk 68,500"
Acer Extensa 15 EX215-54-34SE Intel Core i3 1 ...,Core i3,11th (Intel),4GB,1TB HDD,Shared,15.6,"Tk 46,500"
Huawei MateBook D 15 Intel Core i5 1135G7 8GB ...,Core i5,11th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 76,000"
Asus E510MA Intel CDC N4020 4GB RAM 512GB SSD ...,Intel Celeron,Not Applicable,4GB,512GB SSD,Shared,15.6,"Tk 41,500"
Asus VivoBook 15 K513EQ Intel Core i5 1135G7 ...,Core i5,11th (Intel),8GB,512GB SSD,2GB,15.6,"Tk 95,000"
HP Envy 15-ep1890TX Intel Core i7 11800H 16GB ...,Core i7,11th (Intel),16GB,1TB SSD,4GB,15.6,"Tk 185,000"
Lenovo IdeaPad D330 10IGL Intel CDC N4020 4GB ...,Intel Celeron,Not Applicable,4GB,128GB eMMC,Shared,10.1,"Tk 34,500"
Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 ...,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,"Tk 36,000"
HP 240 G8 Intel Core i3 1115G4 8GB RAM 1TB HD ...,Core i3,11th (Intel),8GB,1TB HDD,Shared,14,"Tk 56,500"
Asus X515MA Intel CDC N4020 4GB RAM 1TB HDD 1 ...,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,"Tk 40,500"
Asus VivoBook Pro 15 M3500QC AMD Ryzen 5 5600 ...,Ryzen 5,Not Applicable,16GB,512GB SSD,4GB,15.6,"Tk 132,000"
Microsoft Surface Laptop Studio Intel Core i7 ...,Core i7,11th (Intel),32GB,2TB SSD,4GB,14.4,"Tk 395,000 (Estimated)"
HP 15s-du3611TU Intel Core i3 1125G4 4GB RAM ...,Core i3,11th (Intel),4GB,1TB HDD,Shared,15.6,"Tk 55,500"
Asus VivoBook Pro 16X M7600QE AMD Ryzen 7 580 ...,Ryzen 7,Not Applicable,16GB,512GB SSD,4GB,16,"Tk 174,000"
Asus X515MA Intel CDC N4020 4GB RAM 1TB HDD 1 ...,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,"Tk 43,500"
Apple MacBook Pro (Late 2021) Apple M1 Max (1 ...,Apple M1,Not Applicable,32GB,1TB SSD,Shared,16.2,"Tk 350,000 (Estimated)"
Apple MacBook Pro (Late 2021) Apple M1 Pro (1 ...,Apple M1,Not Applicable,32GB,1TB SSD,Shared,14.2,"Tk 299,000"
Asus VivoBook Pro 15 K3500PA Intel Core i7 11 ...,Core i7,11th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 115,000"
Acer TravelMate P214-53 Intel Core i5 1135G7 ...,Core i5,11th (Intel),8GB,1TB HDD,Shared,14,"Tk 65,500"
